section,blade,x_m,radius_m,z_m
0,0,-0.002395,0.013335,0.001616
0,0,-0.002346,0.013335,0.001683
0,0,-0.002263,0.013335,0.001733
0,0,-0.002146,0.013335,0.001765
0,0,-0.001995,0.013335,0.001778
0,0,-0.001812,0.013335,0.001771
0,0,-0.001599,0.013335,0.001744
0,0,-0.001357,0.013335,0.001695
0,0,-0.001088,0.013335,0.001625
0,0,-0.000795,0.013335,0.001531
0,0,-0.000481,0.013335,0.001415
0,0,-0.000148,0.013335,0.001275
0,0,0.000201,0.013335,0.001112
0,0,0.000562,0.013335,0.000926
0,0,0.000933,0.013335,0.000717
0,0,0.001310,0.013335,0.000487
0,0,0.001690,0.013335,0.000238
0,0,0.002070,0.013335,-0.000030
0,0,0.002444,0.013335,-0.000309
0,0,0.002815,0.013335,-0.000597
0,0,0.003182,0.013335,-0.000893
0,0,0.003544,0.013335,-0.001195
0,0,0.003896,0.013335,-0.001499
0,0,0.004239,0.013335,-0.001804
0,0,0.004569,0.013335,-0.002107
0,0,0.004885,0.013335,-0.002405
0,0,0.005185,0.013335,-0.002696
0,0,0.005469,0.013335,-0.002978
0,0,0.005734,0.013335,-0.003247
0,0,0.005979,0.013335,-0.003502
0,0,0.006204,0.013335,-0.003741
0,0,0.006407,0.013335,-0.003961
0,0,0.006587,0.013335,-0.004160
0,0,0.006745,0.013335,-0.004337
0,0,0.006879,0.013335,-0.004490
0,0,0.006989,0.013335,-0.004617
0,0,0.007075,0.013335,-0.004717
0,0,0.007137,0.013335,-0.004789
0,0,0.007174,0.013335,-0.004832
0,0,0.007186,0.013335,-0.004847
0,0,0.007170,0.013335,-0.004836
0,0,0.007122,0.013335,-0.004805
0,0,0.007043,0.013335,-0.004753
0,0,0.006933,0.013335,-0.004680
0,0,0.006793,0.013335,-0.004588
0,0,0.006623,0.013335,-0.004477
0,0,0.006426,0.013335,-0.004348
0,0,0.006202,0.013335,-0.004202
0,0,0.005953,0.013335,-0.004040
0,0,0.005680,0.013335,-0.003864
0,0,0.005385,0.013335,-0.003674
0,0,0.005070,0.013335,-0.003472
0,0,0.004737,0.013335,-0.003261
0,0,0.004388,0.013335,-0.003041
0,0,0.004026,0.013335,-0.002813
0,0,0.003653,0.013335,-0.002581
0,0,0.003270,0.013335,-0.002344
0,0,0.002882,0.013335,-0.002104
0,0,0.002490,0.013335,-0.001863
0,0,0.002098,0.013335,-0.001621
0,0,0.001707,0.013335,-0.001381
0,0,0.001321,0.013335,-0.001142
0,0,0.000947,0.013335,-0.000912
0,0,0.000581,0.013335,-0.000689
0,0,0.000225,0.013335,-0.000474
0,0,-0.000118,0.013335,-0.000267
0,0,-0.000446,0.013335,-0.000068
0,0,-0.000755,0.013335,0.000123
0,0,-0.001045,0.013335,0.000306
0,0,-0.001312,0.013335,0.000481
0,0,-0.001554,0.013335,0.000647
0,0,-0.001770,0.013335,0.000803
0,0,-0.001957,0.013335,0.000951
0,0,-0.002113,0.013335,0.001089
0,0,-0.002238,0.013335,0.001216
0,0,-0.002330,0.013335,0.001333
0,0,-0.002387,0.013335,0.001439
0,0,-0.002409,0.013335,0.001533
1,0,-0.002862,0.017780,0.001666
1,0,-0.002811,0.017780,0.001747
1,0,-0.002720,0.017780,0.001811
1,0,-0.002588,0.017780,0.001856
1,0,-0.002417,0.017780,0.001882
1,0,-0.002207,0.017780,0.001888
1,0,-0.001961,0.017780,0.001873
1,0,-0.001681,0.017780,0.001836
1,0,-0.001368,0.017780,0.001775
1,0,-0.001026,0.017780,0.001691
1,0,-0.000657,0.017780,0.001582
1,0,-0.000266,0.017780,0.001447
1,0,0.000146,0.017780,0.001287
1,0,0.000573,0.017780,0.001101
1,0,0.001013,0.017780,0.000891
1,0,0.001461,0.017780,0.000657
1,0,0.001915,0.017780,0.000400
1,0,0.002370,0.017780,0.000123
1,0,0.002818,0.017780,-0.000167
1,0,0.003265,0.017780,-0.000469
1,0,0.003707,0.017780,-0.000780
1,0,0.004143,0.017780,-0.001097
1,0,0.004570,0.017780,-0.001419
1,0,0.004984,0.017780,-0.001741
1,0,0.005385,0.017780,-0.002062
1,0,0.005769,0.017780,-0.002379
1,0,0.006135,0.017780,-0.002689
1,0,0.006480,0.017780,-0.002990
1,0,0.006804,0.017780,-0.003278
1,0,0.007104,0.017780,-0.003551
1,0,0.007379,0.017780,-0.003807
1,0,0.007628,0.017780,-0.004043
1,0,0.007849,0.017780,-0.004257
1,0,0.008043,0.017780,-0.004448
1,0,0.008208,0.017780,-0.004612
1,0,0.008344,0.017780,-0.004749
1,0,0.008450,0.017780,-0.004857
1,0,0.008525,0.017780,-0.004934
1,0,0.008571,0.017780,-0.004982
1,0,0.008586,0.017780,-0.004997
1,0,0.008567,0.017780,-0.004986
1,0,0.008510,0.017780,-0.004954
1,0,0.008416,0.017780,-0.004901
1,0,0.008284,0.017780,-0.004826
1,0,0.008117,0.017780,-0.004731
1,0,0.007915,0.017780,-0.004617
1,0,0.007679,0.017780,-0.004485
1,0,0.007412,0.017780,-0.004335
1,0,0.007114,0.017780,-0.004168
1,0,0.006789,0.017780,-0.003987
1,0,0.006437,0.017780,-0.003793
1,0,0.006062,0.017780,-0.003586
1,0,0.005665,0.017780,-0.003369
1,0,0.005250,0.017780,-0.003144
1,0,0.004818,0.017780,-0.002912
1,0,0.004373,0.017780,-0.002674
1,0,0.003918,0.017780,-0.002432
1,0,0.003456,0.017780,-0.002187
1,0,0.002989,0.017780,-0.001941
1,0,0.002522,0.017780,-0.001695
1,0,0.002057,0.017780,-0.001449
1,0,0.001597,0.017780,-0.001205
1,0,0.001152,0.017780,-0.000971
1,0,0.000717,0.017780,-0.000744
1,0,0.000293,0.017780,-0.000525
1,0,-0.000115,0.017780,-0.000314
1,0,-0.000505,0.017780,-0.000111
1,0,-0.000873,0.017780,0.000084
1,0,-0.001218,0.017780,0.000271
1,0,-0.001537,0.017780,0.000450
1,0,-0.001827,0.017780,0.000621
